"NetworkFilename","PoseFilename","AgeGroup","MouseID","Strain","Diet","AgeW","AgeAtVid","CFI_norm","score","median_angular_velocity","median_base_tail_lateral_displacement","median_limb_duty_factor","median_nose_lateral_displacement","median_speed_cm_per_sec","median_step_length1","median_step_width","median_stride_length","median_tip_tail_lateral_displacement","stride_count","angular_velocity_iqr","base_tail_lateral_displacement_iqr","limb_duty_factor_iqr","nose_lateral_displacement_iqr","speed_cm_per_sec_iqr","step_length1_iqr","step_width_iqr","stride_length_iqr","tip_tail_lateral_displacement_iqr","median_length","median_width","dAC_mean","dAC_stdev","dAC_min","dAC_median","dB_mean","dB_stdev","dB_max","dB_median","aABC_mean","aABC_stdev","aABC_min","aABC_median","dAC_nongait_mean","dAC_nongait_stdev","dAC_nongait_median","dB_nongait_max","dB_nongait_median","aABC_nongait_mean","aABC_nongait_stdev","aABC_nongait_median","distance_cm","center_time_secs","periphery_time_secs","corner_time_secs","center_distance_cm","periphery_distance_cm","corner_distance_cm","grooming_number_bouts","grooming_duration_secs","Rearing_supported_T5","Rearing_supported_T20","Rearing_supported_T55","Rearing_unsupported_T5","Rearing_unsupported_T20","Rearing_unsupported_T55","Grooming_T5","Grooming_T20","Grooming_T55","alopecia","loss_of_fur_colour","dermatitis","loss_of_whiskers","coat_condition","piloerection","cataracts","eye_discharge_swelling","microphthalmia","corneal_opacity","nasal_discharge","rectal_prolapse","vaginal_uterine","diarrhea","vestibular_disturbance","vision_loss_visual_placing","menace_reflex","tail_stiffening","gait_disorders","tremor","tumours","distended_abdomen","kyphosis","body_condition","breathing_rate_depth","malocclusions","righting_reflex","FLL","FIdate","Batch","Weight","pallor_or_cyanosis","hunched","eye_discharge","changes_to_the_globe","response_to_analgesic","peri_retro_orbital_swelling","vaginal_uterine_prolapse","activity","response_to_external_stimuli","paralysis","tumors","urine","dehydration_reduced_skin_turgor","head_piloerection","thoracic_mass","NFI","temperature","CFI","FIs","loss_of_fur_color","Sex","Tester"
"LL1-B2B/2019-09-04_SPD/LL1-1_AgedB6-0396.avi","LL1-1_AgedB6-0396",1,"AgedB6-0396","B6","AL",43,43,0.267857143,7.500000004,-2.019109666,0.166337685,0.571428571,0.120897584,15.54657367,1.273532456,2.977061064,3.979774797,0.507276087,991,49.95709298,0.085917386,0.166666667,0.122441209,6.149284116,1.577351432,0.472341171,3.150976909,0.319744207,68.15115356,37.30943298,0.720075656,0.130175119,0.077774513,0.74679734,4.866107692,4.008067037,28,3.640054945,157.0852727,24.81143889,3.576334375,164.6315367,0.097658367,0.032889642,0.10157232,600.4273478,11.54339638,150.5826164,30.5413025,159.7751406,4.571861212,1103.902813,2618.68287,1050.31592,4916.49904,12248.3386,3780.23464,11,189.58934,0.0927777777777778,0.0514722222222222,0.0464949494949495,0.00233333333333333,0.0163333333333333,0.017050505050505,0.00611111111111111,0.02025,0.0525757575757576,0.5,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LL1-B2B/2019-09-04_SPD/LL1-2_AgedB6-0394.avi","LL1-2_AgedB6-0394",1,"AgedB6-0394","B6","AL",43,43,0.267857143,7.500000004,-3.093400008,0.159373721,0.625,0.115014358,15.39858265,2.125433056,3.079423096,4.229125942,0.446310033,1024,42.58798568,0.075959537,0.160119048,0.121003145,6.576384172,1.656902824,0.413521114,2.283125891,0.286696225,66.30115509,35.20666504,0.721987271,0.113318419,0.16553158,0.732084498,3.907670153,2.783616668,21.22498528,3.16227766,162.0017251,15.83875888,49.95027223,166.3527617,0.11145256,0.032238421,0.112405858,584.9380309,10.92016483,156.9902135,20.41608513,162.3988186,4.953754859,905.79638,2876.8594,1107.9584,5187.01674,14877.4084,4603.74834,10,84.87922,0.0721111111111111,0.0599444444444444,0.0578989898989899,0.00144444444444444,0.00752777777777777,0.0199292929292929,0.00411111111111111,0.0182777777777778,0.0195858585858586,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0.5,0,0.5,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LL1-B2B/2019-09-04_SPD/LL1-2_AgedB6-0394.avi","LL1-2_AgedB6-0394",1,"AgedB6-0394","B6","AL",43,43,0.267857143,7.500000004,-3.093400008,0.159373721,0.625,0.115014358,15.39858265,2.125433056,3.079423096,4.229125942,0.446310033,1024,42.58798568,0.075959537,0.160119048,0.121003145,6.576384172,1.656902824,0.413521114,2.283125891,0.286696225,66.30115509,35.20666504,0.721987271,0.113318419,0.16553158,0.732084498,3.907670153,2.783616668,21.22498528,3.16227766,162.0017251,15.83875888,49.95027223,166.3527617,0.11145256,0.032238421,0.112405858,584.9380309,10.92016483,156.9902135,20.41608513,162.3988186,4.953754859,905.79638,2876.8594,1107.9584,5187.01674,14877.4084,4603.74834,10,84.87922,0.0721111111111111,0.0599444444444444,0.0578989898989899,0.00144444444444444,0.00752777777777777,0.0199292929292929,0.00411111111111111,0.0182777777777778,0.0195858585858586,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0.5,0,0.5,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LL1-B2B/2019-09-04_SPD/LL1-2_AgedB6-0686.avi","LL1-2_AgedB6-0686",3,"AgedB6-0686","B6","AL",92,92,0.285714286,8.000000008,1.733777278,0.195994834,0.5625,0.098389303,15.33902882,2.343707251,3.30276898,4.085286716,0.534683524,988,42.25684014,0.106814879,0.192613636,0.087033061,5.081985535,1.765322041,0.597155703,3.293188187,0.386698999,63.35562706,36.80216599,0.639166215,0.120114626,0.081360268,0.634725181,4.486711747,3.497241609,27.51817581,3.605551275,157.8896549,21.99072189,11.04094018,164.2590282,0.089258523,0.040648671,0.087746388,635.4559387,12.09338662,151.4816954,28.59423725,159.5975959,4.130053139,840.54804,2882.8376,947.35492,4242.73408,12328.2497,3614.609644,9,121.9075,0.0427777777777778,0.0575833333333333,0.0461313131313131,0.00466666666666666,0.0130555555555555,0.0187070707070707,0.0124444444444444,0.0159166666666667,0.0417777777777778,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0,0.5,0,1,0.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LL1-B2B/2019-09-04_SPD/LL1-3_AgedB6-0404.avi","LL1-3_AgedB6-0404",1,"AgedB6-0404","B6","AL",44,44,0.169642857,4.749999996,-5.665217117,0.192359903,0.611111111,0.118555717,15.81814913,2.454812684,2.802681286,5.05108873,0.492249715,1260,39.2220903,0.078328295,0.15,0.130378455,6.481865249,1.52553409,0.390122721,1.983778289,0.251418767,64.06376648,32.81254768,0.715122818,0.116873993,0.130907719,0.723417206,3.875526757,2.780791014,24.6018292,3.201562119,161.2812511,17.99145021,22.78240573,165.9637565,0.104546298,0.04162685,0.104536553,595.3356196,10.9658561,154.1989399,24.6357365,160.3687614,5.280887191,611.23636,3111.4572,1443.66756,4938.3405,16150.2304,5676.64172,11,113.25598,0.0638888888888889,0.0639444444444444,0.0639090909090909,0.00111111111111111,0.00336111111111111,0.00745454545454545,0.00688888888888888,0.00747222222222222,0.0221212121212121,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LL1-B2B/2019-09-04_SPD/LL1-3_AgedB6-0687.avi","LL1-3_AgedB6-0687",3,"AgedB6-0687","B6","AL",92,92,0.303571429,8.500000012,-2.532764327,0.17743387,0.583333333,0.11059974,12.76934436,2.404231052,2.961534684,3.352434675,0.523673327,831,44.92086847,0.122281254,0.166666667,0.107201961,4.225735795,1.996917674,0.594349898,3.468136937,0.387963992,69.11753845,34.81694794,0.716389719,0.091717701,0.346592284,0.713689825,3.390742746,2.1838742,19.1637679,2.915475947,165.5872229,11.89998378,83.26951607,168.5352742,0.114359831,0.039460512,0.112809105,616.1436521,11.28051417,160.4936493,17.62594683,164.5203745,3.466151499,1311.34756,2410.2451,653.1727,4541.93195,8968.4718,2275.642935,4,34.00826,0.0397777777777778,0.0300277777777778,0.0267272727272727,0.00177777777777777,0.00052777777777777,0.00308080808080808,0.00977777777777777,0.00980555555555555,0.00751515151515151,0.5,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0.5,0,0,0.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LL1-B2B/2019-12-23_SPD/LL1-1_AgedB6-0301.avi","LL1-1_AgedB6-0301",3,"AgedB6-0301","B6","AL",105,105,0.241071429,6.750000012,-4.019800423,0.172479032,0.65,0.133522201,15.42617974,2.402091143,2.984272536,4.464573867,0.481810655,1489,43.49695373,0.085040998,0.155844156,0.138236748,5.567575387,1.329109867,0.39278799,1.483547242,0.292392262,64.0629425,34.89852142,0.703307581,0.103344643,0.267883665,0.711489716,3.578255478,2.313598206,22.19234102,3.041381265,163.9422599,14.08223152,63.60496547,167.8884505,0.093814116,0.025421795,0.094119834,516.7794501,11.71537451,157.8855919,18.67332834,162.3935197,5.854436237,915.76916,2865.8484,978.2173,5902.0378,17444.2007,4949.10374,7,38.34976,0.0871111111111111,0.0954722222222222,0.075040404040404,0.0216666666666667,0.0265833333333333,0.0377474747474747,0.00755555555555555,0.0123888888888889,0.00825252525252525,1,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.5,0,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LL1-B2B/2019-12-23_SPD/LL1-1_AgedB6-0306.avi","LL1-1_AgedB6-0306",2,"AgedB6-0306","B6","AL",75,75,0.142857143,4.000000004,-1.963838858,0.217009813,0.583333333,0.111830125,14.5684876,2.223395662,3.019241396,4.438741979,0.676336104,1237,31.98892126,0.073167512,0.166666667,0.09719815,4.583694601,1.643568456,0.491428814,1.965851282,0.321111477,61.49930191,35.79207993,0.555808545,0.086669733,0.232267656,0.557301922,3.935955487,2.656688205,44.72694937,3.201562119,161.9071843,16.41684626,11.7405373,166.6863677,0.108156284,0.031111463,0.10913412,565.1117146,10.73545528,155.5444109,21.5768225,161.3889377,4.404645707,868.04412,2913.57316,1173.20618,3714.293892,13886.347,4442.57731,12,155.7899,0.0762222222222222,0.0648333333333333,0.0712121212121212,0.00444444444444444,0.00230555555555555,0.0024040404040404,0.00944444444444444,0.0191666666666667,0.0313939393939394,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LL1-B2B/2019-12-23_SPD/LL1-2_AgedB6-0302.avi","LL1-2_AgedB6-0302",3,"AgedB6-0302","B6","AL",105,105,0.125,3.5,-5.035815998,0.191199026,0.666666667,0.141983278,14.68317638,2.349450851,2.9718,4.217327534,0.584187604,1209,44.23011267,0.088604531,0.166666667,0.145388298,6.372995837,1.668958582,0.348265012,2.22153375,0.337021032,60.73958588,35.6581955,0.673645393,0.095018825,0.204570319,0.674844986,3.570638415,2.185142492,17.61391495,3.16227766,162.9103911,13.80148038,78.56150578,166.1593045,0.098961571,0.030698756,0.097894132,537.3723104,10.9658561,157.3130843,18.68646465,161.4141738,4.828903357,802.16694,2919.86548,1161.37742,4420.4248,14443.0551,4567.96162,10,64.74466,0.0336666666666667,0.0398055555555556,0.0378888888888889,0.00022222222222222,0.00661111111111111,0.0133131313131313,0.00011111111111111,0.00975,0.0187979797979798,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LL1-B2B/2019-12-23_SPD/LL1-2_AgedB6-0307.avi","LL1-2_AgedB6-0307",2,"AgedB6-0307","B6","AL",75,75,0.160714286,4.500000008,-1.581562613,0.197181815,0.607142857,0.117997049,12.99543347,2.157804094,3.152069898,3.694054853,0.548157821,859,47.33927205,0.10459333,0.2,0.106264456,3.983700135,1.630694956,0.748467647,3.572906416,0.338947958,65.45509338,37.51899719,0.72838373,0.095854975,0.176776695,0.731338341,4.000904773,2.703028678,24.0208243,3.354101966,162.2888237,14.93129994,53.2253835,165.9637565,0.103318331,0.027879221,0.104818897,574.1262927,10.77032961,156.3489221,20.55031489,161.1975138,4.048284796,734.52796,2987.0642,1165.49852,3669.90994,12346.8855,3910.56737,6,53.10448,0.0495555555555555,0.0446388888888889,0.0410909090909091,0.00033333333333333,0.00147222222222222,0.00245454545454545,0.00333333333333333,0.00780555555555555,0.0108888888888889,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
