name,has_strain_result
LL1-B2B__2019-09-04_SPD__LL1-1_AgedB6-0396,True
LL1-B2B__2019-09-04_SPD__LL1-2_AgedB6-0394,True
LL1-B2B__2019-09-04_SPD__LL1-2_AgedB6-0686,True
LL1-B2B__2019-09-04_SPD__LL1-3_AgedB6-0404,True
LL1-B2B__2019-09-04_SPD__LL1-3_AgedB6-0687,True
LL1-B2B__2019-12-23_SPD__LL1-1_AgedB6-0301,True
LL1-B2B__2019-12-23_SPD__LL1-1_AgedB6-0306,True
LL1-B2B__2019-12-23_SPD__LL1-2_AgedB6-0302,True
LL1-B2B__2019-12-23_SPD__LL1-2_AgedB6-0307,True
LL1-B2B__2019-12-23_SPD__LL1-3_AgedB6-0288,True
LL1-B2B__2019-12-23_SPD__LL1-3_AgedB6-0308,True
LL1-B2B__2019-12-23_SPD__LL1-4_AgedB6-0318,True
LL1-B2B__2019-12-23_SPD__LL1-4_AgedB6-0541,True
LL1-B2B__2019-12-24_SPD__LL1-1_AgedB6-0420,True
LL1-B2B__2019-12-24_SPD__LL1-2_AgedB6-0426,True
LL1-B2B__2019-12-24_SPD__LL1-3_AgedB6-0521,True
LL1-B2B__2019-12-24_SPD__LL1-4_AgedB6-0528,True
LL1-B2B__2020-01-02_SPD__LL1-1_AgedB6-0737,True
LL1-B2B__2020-01-02_SPD__LL1-1_AgedB6-0744,True
LL1-B2B__2020-01-02_SPD__LL1-2_AgedB6-0738,True
LL1-B2B__2020-01-02_SPD__LL1-2_AgedB6-0747,True
LL1-B2B__2020-01-02_SPD__LL1-3_AgedB6-0745,True
LL1-B2B__2020-01-02_SPD__LL1-4_AgedB6-0746,True
LL1-B2B__2020-01-03_SPD__LL1-1_AgedB6-0852,True
LL1-B2B__2020-01-03_SPD__LL1-2_AgedB6-0853,True
LL1-B2B__2020-01-03_SPD__LL1-2_AgedB6-0875,True
LL1-B2B__2020-01-03_SPD__LL1-3_AgedB6-0854,True
LL1-B2B__2020-01-03_SPD__LL1-3_AgedB6-0876,True
