name,has_strain_result
LL1-B6__2022-05-13_MFS__DO1975_DO_F_8906,True
LL1-B6__2022-05-20_MFS__DO1953_DO_F_8892,True
LL1-B6__2022-05-20_MFS__DO1957_DO_F_8894,True
LL1-B6__2022-05-20_MFS__DO1958_DO_F_8895,True
LL1-B6__2023-07-06_MFS__DO2271_DO_F_25075,True
LL1-B6__2023-07-06_MFS__DO2272_DO_F_25076,True
LL1-B6__2023-07-06_MFS__DO2273_DO_F_25077,True
LL1-B6__2023-07-06_MFS__DO2274_DO_F_25078,True
LL1-B6__2023-07-06_MFS__DO2331_DO_M_25047,True
LL1-B6__2023-07-06_MFS__DO2332_DO_M_25048,True
LL1-B6__2023-07-06_MFS__DO2333_DO_M_25049,True
LL1-B6__2023-07-06_MFS__DO2334_DO_M_25050,True
LL1-B6__2023-07-10_MFS__DO2291_DO_F_25095,True
LL1-B6__2023-07-10_MFS__DO2292_DO_F_25096,True
LL1-B6__2023-07-10_MFS__DO2293_DO_F_25097,True
LL1-B6__2023-07-10_MFS__DO2294_DO_F_25098,True
LL1-B6__2023-07-10_MFS__DO2315_DO_F_25119,True
LL1-B6__2023-07-10_MFS__DO2316_DO_F_25120,True
LL1-B6__2023-07-10_MFS__DO2317_DO_F_25121,True
LL1-B6__2023-07-10_MFS__DO2318_DO_F_25122,True
LL2-B6%202023-07-10_MFS%20DO2296_DO_F_25100,True
LL2-B6__2022-04-29_MFS__DO2026_DO_F_8937,True
LL2-B6__2022-04-29_MFS__DO2027_DO_F_8938,True
LL2-B6__2022-05-13_MFS__DO1979_DO_F_8907,True
LL2-B6__2022-05-13_MFS__DO1980_DO_F_8908,True
LL2-B6__2022-05-13_MFS__DO1982_DO_F_8909,True
LL2-B6__2023-07-06_MFS__DO2275_DO_F_25079,True
LL2-B6__2023-07-06_MFS__DO2277_DO_F_25081,True
LL2-B6__2023-07-06_MFS__DO2278_DO_F_25082,True
LL2-B6__2023-07-06_MFS__DO2335_DO_M_25051,True
LL2-B6__2023-07-06_MFS__DO2338_DO_M_25054,True
LL2-B6__2023-07-10_MFS__DO2295_DO_F_25099,True
LL2-B6__2023-07-10_MFS__DO2297_DO_F_25101,True
LL2-B6__2023-07-10_MFS__DO2298_DO_F_25102,True
LL2-B6__2023-07-10_MFS__DO2319_DO_F_25123,True
LL2-B6__2023-07-10_MFS__DO2320_DO_F_25124,True
LL2-B6__2023-07-10_MFS__DO2321_DO_F_25125,True
LL2-B6__2023-07-10_MFS__DO2322_DO_F_25126,True
LL3-B6%202023-07-06_MFS%20DO2340_DO_M_25056,True
LL3-B6%202023-07-10_MFS%20DO2324_DO_F_25128,True
LL3-B6__2022-04-29_MFS__DO2028_DO_F_8939,True
LL3-B6__2022-04-29_MFS__DO2029_DO_F_8940,True
LL3-B6__2022-04-29_MFS__DO2030_DO_F_8941,True
