name,has_combined_result,has_combined_embedding
LL1-B2B__2019-09-04_SPD__LL1-1_AgedB6-0396,True,True
LL1-B2B__2019-09-04_SPD__LL1-2_AgedB6-0394,True,True
LL1-B2B__2019-09-04_SPD__LL1-2_AgedB6-0686,True,True
LL1-B2B__2019-09-04_SPD__LL1-3_AgedB6-0404,True,True
LL1-B2B__2019-09-04_SPD__LL1-3_AgedB6-0687,True,True
LL1-B2B__2019-12-23_SPD__LL1-1_AgedB6-0301,True,True
LL1-B2B__2019-12-23_SPD__LL1-1_AgedB6-0306,True,True
LL1-B2B__2019-12-23_SPD__LL1-2_AgedB6-0302,True,True
LL1-B2B__2019-12-23_SPD__LL1-2_AgedB6-0307,True,True
LL1-B2B__2019-12-23_SPD__LL1-3_AgedB6-0288,True,True
LL1-B2B__2019-12-23_SPD__LL1-3_AgedB6-0308,True,True
LL1-B2B__2019-12-23_SPD__LL1-4_AgedB6-0318,True,True
LL1-B2B__2019-12-23_SPD__LL1-4_AgedB6-0541,True,True
LL1-B2B__2019-12-24_SPD__LL1-1_AgedB6-0420,True,True
LL1-B2B__2019-12-24_SPD__LL1-2_AgedB6-0426,True,True
LL1-B2B__2019-12-24_SPD__LL1-3_AgedB6-0521,True,True
LL1-B2B__2019-12-24_SPD__LL1-4_AgedB6-0528,True,True
LL1-B2B__2020-01-02_SPD__LL1-1_AgedB6-0737,True,True
LL1-B2B__2020-01-02_SPD__LL1-1_AgedB6-0744,True,True
LL1-B2B__2020-01-02_SPD__LL1-2_AgedB6-0738,True,True
LL1-B2B__2020-01-02_SPD__LL1-2_AgedB6-0747,True,True
LL1-B2B__2020-01-02_SPD__LL1-3_AgedB6-0745,True,True
LL1-B2B__2020-01-02_SPD__LL1-4_AgedB6-0746,True,True
LL1-B2B__2020-01-03_SPD__LL1-1_AgedB6-0852,True,True
LL1-B2B__2020-01-03_SPD__LL1-2_AgedB6-0853,True,True
LL1-B2B__2020-01-03_SPD__LL1-2_AgedB6-0875,True,True
LL1-B2B__2020-01-03_SPD__LL1-3_AgedB6-0854,True,True
LL1-B2B__2020-01-03_SPD__LL1-3_AgedB6-0876,True,True
LL1-B2B__2020-01-03_SPD__LL1-4_AgedB6-0855,True,True
LL1-B2B__2020-01-03_SPD__LL1-4_AgedB6-0877,True,True
LL1-B2B__2020-01-16_SPD__AgedB6-0890,True,True
LL1-B2B__2020-01-16_SPD__AgedB6-0891,True,True
LL1-B2B__2020-01-16_SPD__AgedB6-0892,True,True
LL1-B2B__2020-01-16_SPD__AgedB6-0893,True,True
LL1-B2B__2020-01-17_SPD__AgedB6-0310,True,True
LL1-B2B__2020-01-17_SPD__AgedB6-0312,True,True
LL1-B2B__2020-01-17_SPD__AgedB6-0391,True,True
LL1-B2B__2020-01-17_SPD__AgedB6-0407,True,True
LL1-B2B__2020-01-17_SPD__AgedB6-0882,True,True
LL1-B2B__2020-01-17_SPD__AgedB6-0883,True,True
LL1-B2B__2020-01-17_SPD__AgedB6-0884,True,True
LL1-B2B__2020-01-17_SPD__AgedB6-0885,True,True
LL1-B2B__2020-06-15_SPD__AgedB6-0739,True,True
LL1-B2B__2020-06-15_SPD__AgedB6-0740,True,True
LL1-B2B__2020-06-15_SPD__AgedB6-0741,True,True
LL1-B2B__2020-06-16_SPD__AgedB6-0409,True,True
LL1-B2B__2020-06-16_SPD__AgedB6-0410,True,True
LL1-B2B__2020-06-16_SPD__AgedB6-0411,True,True
LL1-B2B__2020-06-16_SPD__AgedB6-1043,True,True
LL1-B2B__2020-06-16_SPD__AgedB6-1120,True,True
LL1-B2B__2020-06-16_SPD__AgedB6-1121,True,True
LL1-B2B__2020-06-16_SPD__AgedB6-1122,True,True
LL1-B2B__2020-06-17_SPD__AgedB6-0420,True,True
LL1-B2B__2020-06-17_SPD__AgedB6-0426,True,True
LL1-B2B__2020-06-17_SPD__AgedB6-1049,True,True
LL1-B2B__2020-06-17_SPD__AgedB6-1050,True,True
LL1-B2B__2020-06-17_SPD__AgedB6-1051,True,True
LL1-B2B__2020-06-17_SPD__AgedB6-1052,True,True
LL1-B2B__2020-06-17_SPD__AgedB6-1160,True,True
LL1-B2B__2020-06-17_SPD__AgedB6-1161,True,True
LL1-B2B__2020-06-17_SPD__AgedB6-1162,True,True
LL1-B2B__2020-06-17_SPD__AgedB6-1167,True,True
LL1-B2B__2020-06-17_SPD__AgedB6-1187,True,True
LL1-B2B__2020-06-17_SPD__AgedB6-1188,True,True
LL1-B2B__2020-06-25_SPD__AgedB6-0665,True,True
LL1-B2B__2020-06-25_SPD__AgedB6-0666,True,True
LL1-B2B__2020-06-25_SPD__AgedB6-0667,True,True
LL1-B2B__2020-06-25_SPD__AgedB6-0668,True,True
LL1-B2B__2020-06-25_SPD__AgedB6-0889,True,True
LL1-B2B__2020-06-25_SPD__AgedB6-0918,True,True
LL1-B2B__2020-06-25_SPD__AgedB6-0922,True,True
LL1-B2B__2020-06-26_SPD__AgedB6-0890,True,True
LL1-B2B__2020-06-26_SPD__AgedB6-0891,True,True
LL1-B2B__2020-06-26_SPD__AgedB6-0893,True,True
LL1-B2B__2020-06-26_SPD__AgedB6-1204,True,True
LL1-B2B__2020-06-26_SPD__AgedB6-1205,True,True
LL1-B2B__2020-06-26_SPD__AgedB6-1247,True,True
LL1-B2B__2020-06-26_SPD__AgedB6-1249,True,True
LL1-B2B__2020-06-26_SPD__AgedB6-1251,True,True
LL1-B2B__2020-06-29_SPD__AgedB6-1143,True,True
LL1-B2B__2020-06-29_SPD__AgedB6-1144,True,True
LL1-B2B__2020-06-29_SPD__AgedB6-1145,True,True
LL1-B2B__2020-06-29_SPD__AgedB6-1146,True,True
LL1-B2B__2020-07-06_SPD__AgedB6-0447,True,True
LL1-B2B__2020-07-06_SPD__AgedB6-0448,True,True
LL1-B2B__2020-07-06_SPD__AgedB6-0449,True,True
LL1-B2B__2020-07-06_SPD__AgedB6-0451,True,True
LL1-B2B__2020-07-06_SPD__AgedB6-0842,True,True
LL1-B2B__2020-07-06_SPD__AgedB6-0844,True,True
LL1-B2B__2020-07-06_SPD__AgedB6-1236,True,True
LL1-B2B__2020-07-06_SPD__AgedB6-1237,True,True
LL1-B2B__2020-07-06_SPD__AgedB6-1238,True,True
LL1-B2B__2020-07-06_SPD__AgedB6-1239,True,True
LL1-B2B__2020-07-07_SPD__AgedB6-0856,True,True
LL1-B2B__2020-07-07_SPD__AgedB6-0940,True,True
LL1-B2B__2020-07-07_SPD__AgedB6-0941,True,True
LL1-B2B__2020-07-07_SPD__AgedB6-0942,True,True
LL1-B2B__2020-07-07_SPD__AgedB6-1252,True,True
LL1-B2B__2020-07-07_SPD__AgedB6-1253,True,True
LL1-B2B__2020-07-07_SPD__AgedB6-1254,True,True
LL1-B6__2021-06-01_SPD__AgedB6-0312,True,True
LL1-B6__2021-06-01_SPD__AgedB6-0414,True,True
LL1-B6__2021-06-01_SPD__AgedB6-0420,True,True
LL1-B6__2021-06-01_SPD__AgedB6-1471,True,True
LL1-B6__2021-06-01_SPD__AgedB6-1486,True,True
LL1-B6__2021-06-01_SPD__AgedB6-1487,True,True
LL1-B6__2021-06-02_SPD__AgedB6-2291,True,True
LL1-B6__2021-06-08_SPD__AgedB6-2258,True,True
LL1-B6__2021-06-08_SPD__AgedB6-2259,True,True
LL1-B6__2021-06-08_SPD__AgedB6-2260,True,True
LL1-B6__2021-06-08_SPD__AgedB6-2261,True,True
LL1-B6__2021-06-14_SPD__AgedB6-0670,True,True
LL1-B6__2021-06-14_SPD__AgedB6-0672,True,True
LL1-B6__2021-06-14_SPD__AgedB6-0673,True,True
LL1-B6__2021-06-15_SPD__AgedB6-2126,True,True
LL1-B6__2021-06-15_SPD__AgedB6-2128,True,True
LL1-B6__2021-06-16_SPD__AgedB6-0541,True,True
LL1-B6__2021-06-16_SPD__AgedB6-0542,True,True
LL1-B6__2021-06-16_SPD__AgedB6-0543,True,True
LL1-B6__2021-06-16_SPD__AgedB6-0546,True,True
LL1-B6__2022-05-13_MFS__DO1975_DO_F_8906,True,True
LL1-B6__2022-05-20_MFS__DO1953_DO_F_8892,True,True
LL1-B6__2022-05-20_MFS__DO1957_DO_F_8894,True,True
LL1-B6__2022-05-20_MFS__DO1958_DO_F_8895,True,True
LL1-B6__2023-07-06_MFS__DO2271_DO_F_25075,True,True
LL1-B6__2023-07-06_MFS__DO2272_DO_F_25076,True,True
LL1-B6__2023-07-06_MFS__DO2273_DO_F_25077,True,True
LL1-B6__2023-07-06_MFS__DO2274_DO_F_25078,True,True
LL1-B6__2023-07-06_MFS__DO2331_DO_M_25047,True,True
LL1-B6__2023-07-06_MFS__DO2332_DO_M_25048,True,True
LL1-B6__2023-07-06_MFS__DO2333_DO_M_25049,True,True
LL1-B6__2023-07-06_MFS__DO2334_DO_M_25050,True,True
LL1-B6__2023-07-10_MFS__DO2291_DO_F_25095,True,True
LL1-B6__2023-07-10_MFS__DO2292_DO_F_25096,True,True
LL1-B6__2023-07-10_MFS__DO2293_DO_F_25097,True,True
LL1-B6__2023-07-10_MFS__DO2294_DO_F_25098,True,True
LL1-B6__2023-07-10_MFS__DO2315_DO_F_25119,True,True
LL1-B6__2023-07-10_MFS__DO2316_DO_F_25120,True,True
LL1-B6__2023-07-10_MFS__DO2317_DO_F_25121,True,True
LL1-B6__2023-07-10_MFS__DO2318_DO_F_25122,True,True
LL2-B2B__2019-09-04_SPD__LL2-1_AgedB6-0403,True,True
LL2-B2B__2019-09-04_SPD__LL2-1_AgedB6-0689,True,True
LL2-B2B__2019-09-04_SPD__LL2-2_AgedB6-0386,True,True
LL2-B2B__2019-09-04_SPD__LL2-2_AgedB6-0690,True,True
LL2-B2B__2019-09-04_SPD__LL2-3_AgedB6-0373,True,True
LL2-B2B__2019-09-04_SPD__LL2-3_AgedB6-0691,True,True
LL2-B2B__2019-09-04_SPD__LL2-4_AgedB6-0374,True,True
LL2-B2B__2019-09-04_SPD__LL2-4_AgedB6-0692,True,True
LL2-B2B__2019-12-23_SPD__LL2-1_AgedB6-0324,True,True
LL2-B2B__2019-12-23_SPD__LL2-1_AgedB6-0542,True,True
LL2-B2B__2019-12-23_SPD__LL2-2_AgedB6-0325,True,True
LL2-B2B__2019-12-23_SPD__LL2-2_AgedB6-0543,True,True
LL2-B2B__2019-12-23_SPD__LL2-3_AgedB6-0546,True,True
LL2-B2B__2019-12-23_SPD__LL2-4_AgedB6-0547,True,True
LL2-B2B__2019-12-23_SPD__LL2-4_AgedB6-0666,True,True
LL2-B2B__2019-12-24_SPD__LL2-1_AgedB6-0532,True,True
LL2-B2B__2019-12-24_SPD__LL2-2_AgedB6-0534,True,True
LL2-B2B__2019-12-24_SPD__LL2-3_AgedB6-0533,True,True
LL2-B2B__2020-01-02_SPD__LL2-1_AgedB6-0750,True,True
LL2-B2B__2020-01-02_SPD__LL2-2_AgedB6-0675,True,True
LL2-B2B__2020-01-02_SPD__LL2-2_AgedB6-0751,True,True
LL2-B2B__2020-01-02_SPD__LL2-3_AgedB6-0676,True,True
LL2-B2B__2020-01-02_SPD__LL2-3_AgedB6-0752,True,True
LL2-B2B__2020-01-02_SPD__LL2-4_AgedB6-0677,True,True
LL2-B2B__2020-01-03_SPD__LL2-1_AgedB6-0856,True,True
LL2-B2B__2020-01-03_SPD__LL2-1_AgedB6-0878,True,True
LL2-B2B__2020-01-03_SPD__LL2-2_AgedB6-0857,True,True
LL2-B2B__2020-01-03_SPD__LL2-2_AgedB6-0879,True,True
LL2-B2B__2020-01-03_SPD__LL2-3_AgedB6-0858,True,True
