name,has_combined_result,has_combined_embedding
LL2-B6__2021-06-09_SPD__AgedB6-2259,True,False
LL4-B2B__2019-09-04_SPD__LL4-3_AgedB6-0255,True,False
LL4-B2B__2019-09-04_SPD__LL4-4_AgedB6-0256,True,False
LL5-B2B__2019-12-23_SPD__LL5-4_AgedB6-0430,True,False
LL5-B6__2021-06-02_SPD__AgedB6-1427,True,False
LL5-B6__2021-06-02_SPD__AgedB6-2056,True,False
LL6-B2B__2019-12-23_SPD__LL6-2_AgedB6-0432,True,False
NV14-B7B8__2021-01-18__DO-20-1136,True,False
NV15-B7B8__2020-01-02__DO-20-1097,True,False
NV15-B7B8__2020-01-02__DO-20-1098,True,False
NV15-B7B8__2020-01-02__DO-20-1100,True,False
NV15-B7B8__2020-01-02__DO-40-2107,True,False
NV15-B7B8__2020-07-28__DO-20-1187,True,False
NV15-B7B8__2020-07-28__DO-2D-4184,True,False
NV15-B7B8__2020-10-27__DO-40-2181,True,False
NV15-B7B8__2021-01-18__DO-40-2141,True,False
NV15-B7B8__2021-02-04__DO-40-2181,True,False
NV15-B7B8__2021-02-04__DO-40-2184,True,False
