NetworkFilename,network_norm,n_missing_matches
/DO2279_DO_F_25083,DO2279_DO_F_25083,5
/DO2343_DO_M_25058,DO2343_DO_M_25058,2
/DO2342_DO_M_25057,DO2342_DO_M_25057,2
/DO2281_DO_F_25085,DO2281_DO_F_25085,5
/DO2282_DO_F_25086,DO2282_DO_F_25086,4
/DO2299_DO_F_25103,DO2299_DO_F_25103,2
/DO2301_DO_F_25105,DO2301_DO_F_25105,2
/DO2300_DO_F_25104,DO2300_DO_F_25104,2
/DO2323_DO_F_25127,DO2323_DO_F_25127,2
/DO2325_DO_F_25129,DO2325_DO_F_25129,2
/DO2326_DO_F_25130,DO2326_DO_F_25130,2
/DO2302_DO_F_25106,DO2302_DO_F_25106,2
/DO2352_DO_M_25067,DO2352_DO_M_25067,2
/DO2355_DO_M_25070,DO2355_DO_M_25070,2
/DO2353_DO_M_25068,DO2353_DO_M_25068,2
/DO2354_DO_M_25069,DO2354_DO_M_25069,2
/DO2313_DO_F_25117,DO2313_DO_F_25117,2
/DO2272_DO_F_25076,DO2272_DO_F_25076,2
/DO2271_DO_F_25075,DO2271_DO_F_25075,2
/DO2273_DO_F_25077,DO2273_DO_F_25077,2
/DO2331_DO_M_25047,DO2331_DO_M_25047,2
/DO2332_DO_M_25048,DO2332_DO_M_25048,2
/DO2333_DO_M_25049,DO2333_DO_M_25049,2
/DO2334_DO_M_25050,DO2334_DO_M_25050,2
/DO2274_DO_F_25078,DO2274_DO_F_25078,3
/DO2316_DO_F_25120,DO2316_DO_F_25120,2
/DO2318_DO_F_25122,DO2318_DO_F_25122,2
/DO2317_DO_F_25121,DO2317_DO_F_25121,2
/DO2291_DO_F_25095,DO2291_DO_F_25095,2
/DO2294_DO_F_25098,DO2294_DO_F_25098,2
/DO2293_DO_F_25097,DO2293_DO_F_25097,2
/DO2315_DO_F_25119,DO2315_DO_F_25119,2
/DO2292_DO_F_25096,DO2292_DO_F_25096,2
/DO2344_DO_M_25059,DO2344_DO_M_25059,2
/DO2345_DO_M_25060,DO2345_DO_M_25060,2
/DO2347_DO_M_25062,DO2347_DO_M_25062,2
/DO2346_DO_M_25061,DO2346_DO_M_25061,2
/DO2329_DO_F_25133,DO2329_DO_F_25133,2
/DO2306_DO_F_25110,DO2306_DO_F_25110,2
/DO2330_DO_F_25134,DO2330_DO_F_25134,2
/DO2328_DO_F_25132,DO2328_DO_F_25132,2
/DO2304_DO_F_25108,DO2304_DO_F_25108,2
/DO2305_DO_F_25109,DO2305_DO_F_25109,2
/DO2327_DO_F_25131,DO2327_DO_F_25131,2
/DO2349_DO_M_25064,DO2349_DO_M_25064,2
/DO2348_DO_M_25063,DO2348_DO_M_25063,2
/DO2350_DO_M_25065,DO2350_DO_M_25065,2
/DO2351_DO_M_25066,DO2351_DO_M_25066,2
/DO2311_DO_F_25115,DO2311_DO_F_25115,2
/DO2308_DO_F_25112,DO2308_DO_F_25112,2
/DO2307_DO_F_25111,DO2307_DO_F_25111,2
/DO2310_DO_F_25114,DO2310_DO_F_25114,2
/DO2277_DO_F_25081,DO2277_DO_F_25081,2
/DO2338_DO_M_25054,DO2338_DO_M_25054,2
/DO2335_DO_M_25051,DO2335_DO_M_25051,2
/DO2278_DO_F_25082,DO2278_DO_F_25082,2
/DO2275_DO_F_25079,DO2275_DO_F_25079,2
/DO2297_DO_F_25101,DO2297_DO_F_25101,2
/DO2322_DO_F_25126,DO2322_DO_F_25126,2
/DO2295_DO_F_25099,DO2295_DO_F_25099,2
/DO2321_DO_F_25125,DO2321_DO_F_25125,2
/DO2320_DO_F_25124,DO2320_DO_F_25124,2
/DO2319_DO_F_25123,DO2319_DO_F_25123,2
/DO2298_DO_F_25102,DO2298_DO_F_25102,2
NV14-B7B8/2021-01-18/DO-20-1136,NV14-B7B8/2021-01-18/DO-20-1136,0
NV15-B7B8/2020-01-02/DO-20-1097,NV15-B7B8/2020-01-02/DO-20-1097,0
NV15-B7B8/2020-01-02/DO-20-1098,NV15-B7B8/2020-01-02/DO-20-1098,0
NV15-B7B8/2020-01-02/DO-20-1100,NV15-B7B8/2020-01-02/DO-20-1100,0
NV15-B7B8/2020-01-02/DO-40-2107,NV15-B7B8/2020-01-02/DO-40-2107,0
NV15-B7B8/2021-01-18/DO-40-2141,NV15-B7B8/2021-01-18/DO-40-2141,0
NV15-B7B8/2021-02-04/DO-40-2181,NV15-B7B8/2021-02-04/DO-40-2181,0
NV15-B7B8/2021-02-04/DO-40-2184,NV15-B7B8/2021-02-04/DO-40-2184,0
