master_idx,missing_idx,NetworkFilename,name,name_processed
0,31,/DO2279_DO_F_25083,LL3-B6__2023-07-06_MFS__DO2279_DO_F_25083,LL3-B6/2023-07-06_MFS/DO2279_DO_F_25083
0,43,/DO2279_DO_F_25083,LL4-B6__2023-07-06_MFS__DO2279_DO_F_25083,LL4-B6/2023-07-06_MFS/DO2279_DO_F_25083
0,58,/DO2279_DO_F_25083,LL5-B6__2023-07-06_MFS__DO2279_DO_F_25083,LL5-B6/2023-07-06_MFS/DO2279_DO_F_25083
0,70,/DO2279_DO_F_25083,LL6-B6__2023-07-06_MFS__DO2279_DO_F_25083,LL6-B6/2023-07-06_MFS/DO2279_DO_F_25083
0,107,/DO2279_DO_F_25083,Batch2__LL3-B6__2023-07-06_MFS__DO2279_DO_F_25083,Batch2/LL3-B6/2023-07-06_MFS/DO2279_DO_F_25083
1,35,/DO2343_DO_M_25058,LL3-B6__2023-07-06_MFS__DO2343_DO_M_25058,LL3-B6/2023-07-06_MFS/DO2343_DO_M_25058
1,112,/DO2343_DO_M_25058,Batch2__LL3-B6__2023-07-06_MFS__DO2343_DO_M_25058,Batch2/LL3-B6/2023-07-06_MFS/DO2343_DO_M_25058
2,34,/DO2342_DO_M_25057,LL3-B6__2023-07-06_MFS__DO2342_DO_M_25057,LL3-B6/2023-07-06_MFS/DO2342_DO_M_25057
2,111,/DO2342_DO_M_25057,Batch2__LL3-B6__2023-07-06_MFS__DO2342_DO_M_25057,Batch2/LL3-B6/2023-07-06_MFS/DO2342_DO_M_25057
3,32,/DO2281_DO_F_25085,LL3-B6__2023-07-06_MFS__DO2281_DO_F_25085,LL3-B6/2023-07-06_MFS/DO2281_DO_F_25085
3,44,/DO2281_DO_F_25085,LL4-B6__2023-07-06_MFS__DO2281_DO_F_25085,LL4-B6/2023-07-06_MFS/DO2281_DO_F_25085
3,59,/DO2281_DO_F_25085,LL5-B6__2023-07-06_MFS__DO2281_DO_F_25085,LL5-B6/2023-07-06_MFS/DO2281_DO_F_25085
3,71,/DO2281_DO_F_25085,LL6-B6__2023-07-06_MFS__DO2281_DO_F_25085,LL6-B6/2023-07-06_MFS/DO2281_DO_F_25085
3,108,/DO2281_DO_F_25085,Batch2__LL3-B6__2023-07-06_MFS__DO2281_DO_F_25085,Batch2/LL3-B6/2023-07-06_MFS/DO2281_DO_F_25085
4,33,/DO2282_DO_F_25086,LL3-B6__2023-07-06_MFS__DO2282_DO_F_25086,LL3-B6/2023-07-06_MFS/DO2282_DO_F_25086
4,45,/DO2282_DO_F_25086,LL4-B6__2023-07-06_MFS__DO2282_DO_F_25086,LL4-B6/2023-07-06_MFS/DO2282_DO_F_25086
4,72,/DO2282_DO_F_25086,LL6-B6__2023-07-06_MFS__DO2282_DO_F_25086,LL6-B6/2023-07-06_MFS/DO2282_DO_F_25086
