name,mouse_id,sex,age,fi
LL4-B2B__2019-09-04_SPD__LL4-3_AgedB6-0255,AgedB6-0255,-1,104.0,11.5
LL2-B2B__2019-09-04_SPD__LL2-4_AgedB6-0374,AgedB6-0374,1,50.0,5.0
LL3-B2B__2019-09-04_SPD__LL3-1_AgedB6-0375,AgedB6-0375,1,49.0,4.5
LL3-B2B__2019-09-04_SPD__LL3-2_AgedB6-0376,AgedB6-0376,1,49.0,8.0
LL3-B2B__2019-09-04_SPD__LL3-3_AgedB6-0377,AgedB6-0377,1,50.0,8.5
LL3-B2B__2019-09-04_SPD__LL3-4_AgedB6-0378,AgedB6-0378,1,50.0,6.0
LL2-B2B__2019-09-04_SPD__LL2-2_AgedB6-0386,AgedB6-0386,-1,49.0,7.0
LL4-B2B__2019-09-04_SPD__LL4-1_AgedB6-0388,AgedB6-0388,-1,50.0,7.0
LL2-B2B__2019-09-04_SPD__LL2-1_AgedB6-0403,AgedB6-0403,1,42.0,6.5
LL1-B2B__2019-09-04_SPD__LL1-3_AgedB6-0404,AgedB6-0404,1,43.0,4.0
LL1-B2B__2019-09-04_SPD__LL1-2_AgedB6-0394,AgedB6-0394,-1,42.0,6.5
LL1-B2B__2019-09-04_SPD__LL1-1_AgedB6-0396,AgedB6-0396,-1,42.0,6.5
LL4-B2B__2019-09-04_SPD__LL4-2_AgedB6-0437,AgedB6-0437,-1,67.0,6.0
LL4-B2B__2019-09-04_SPD__LL4-3_AgedB6-0438,AgedB6-0438,-1,67.0,7.5
LL4-B2B__2019-09-04_SPD__LL4-4_AgedB6-0439,AgedB6-0439,-1,67.0,5.0
LL5-B2B__2019-09-04_SPD__LL5-1_AgedB6-0440,AgedB6-0440,-1,67.0,6.5
LL5-B2B__2019-09-04_SPD__LL5-2_AgedB6-0441,AgedB6-0441,-1,67.0,6.5
LL5-B2B__2019-09-04_SPD__LL5-3_AgedB6-0442,AgedB6-0442,-1,67.0,7.0
LL5-B2B__2019-09-04_SPD__LL5-2_AgedB6-0472,AgedB6-0472,1,110.0,9.0
LL5-B2B__2019-09-04_SPD__LL5-4_AgedB6-0474,AgedB6-0474,1,110.0,9.5
LL6-B2B__2019-09-04_SPD__LL6-1_AgedB6-0475,AgedB6-0475,1,110.0,11.5
LL6-B2B__2019-09-04_SPD__LL6-3_AgedB6-0482,AgedB6-0482,1,110.0,7.0
LL6-B2B__2019-09-04_SPD__LL6-4_AgedB6-0483,AgedB6-0483,1,110.0,9.0
LL6-B2B__2019-09-04_SPD__LL6-4_AgedB6-0484,AgedB6-0484,1,110.0,9.0
LL4-B2B__2019-09-04_SPD__LL4-1_AgedB6-0624,AgedB6-0624,1,96.0,3.5
LL4-B2B__2019-09-04_SPD__LL4-2_AgedB6-0625,AgedB6-0625,1,96.0,3.5
LL4-B2B__2019-09-04_SPD__LL4-3_AgedB6-0626,AgedB6-0626,1,96.0,3.5
LL4-B2B__2019-09-04_SPD__LL4-4_AgedB6-0627,AgedB6-0627,1,96.0,4.5
LL5-B2B__2019-09-04_SPD__LL5-1_AgedB6-0628,AgedB6-0628,1,96.0,6.0
LL4-B2B__2019-09-04_SPD__LL4-4_AgedB6-0256,AgedB6-0256,-1,104.0,10.5
LL1-B2B__2019-09-04_SPD__LL1-2_AgedB6-0686,AgedB6-0686,-1,91.0,7.0
LL1-B2B__2019-09-04_SPD__LL1-3_AgedB6-0687,AgedB6-0687,-1,91.0,7.5
LL2-B2B__2019-09-04_SPD__LL2-1_AgedB6-0689,AgedB6-0689,-1,91.0,7.0
LL2-B2B__2019-09-04_SPD__LL2-2_AgedB6-0690,AgedB6-0690,-1,91.0,8.0
LL2-B2B__2019-09-04_SPD__LL2-3_AgedB6-0691,AgedB6-0691,-1,91.0,8.0
LL2-B2B__2019-09-04_SPD__LL2-4_AgedB6-0692,AgedB6-0692,-1,91.0,7.5
LL1-B2B__2019-12-23_SPD__LL1-1_AgedB6-0301,AgedB6-0301,-1,104.0,6.5
LL1-B2B__2019-12-23_SPD__LL1-2_AgedB6-0302,AgedB6-0302,-1,104.0,3.5
LL1-B2B__2019-12-23_SPD__LL1-3_AgedB6-0288,AgedB6-0288,1,86.0,3.5
LL3-B2B__2019-12-23_SPD__LL3-2_AgedB6-0448,AgedB6-0448,-1,82.0,2.5
LL3-B2B__2019-12-23_SPD__LL3-3_AgedB6-0449,AgedB6-0449,-1,82.0,3.0
LL3-B2B__2019-12-23_SPD__LL3-4_AgedB6-0450,AgedB6-0450,-1,82.0,4.5
LL4-B2B__2019-12-23_SPD__LL4-1_AgedB6-0451,AgedB6-0451,-1,82.0,6.5
LL4-B2B__2019-12-23_SPD__LL4-2_AgedB6-0452,AgedB6-0452,-1,82.0,3.5
LL4-B2B__2019-12-23_SPD__LL4-3_AgedB6-0453,AgedB6-0453,-1,82.0,3.5
LL4-B2B__2019-12-23_SPD__LL4-4_AgedB6-0454,AgedB6-0454,-1,82.0,3.0
