name,mouse_id,sex,batch,tester,age,fi,weight,diet,strain,fll,raw_fi,median_angular_velocity,median_base_tail_lateral_displacement,median_limb_duty_factor,median_nose_lateral_displacement,median_speed_cm_per_sec,median_step_length1,median_step_width,median_stride_length,median_tip_tail_lateral_displacement,stride_count,angular_velocity_iqr,base_tail_lateral_displacement_iqr,limb_duty_factor_iqr,nose_lateral_displacement_iqr,speed_cm_per_sec_iqr,step_length1_iqr,step_width_iqr,stride_length_iqr,tip_tail_lateral_displacement_iqr,median_length,median_width,dAC_mean,dAC_stdev,dAC_min,dAC_median,dB_mean,dB_stdev,dB_max,dB_median,aABC_mean,aABC_stdev,aABC_min,aABC_median,dAC_nongait_mean,dAC_nongait_stdev,dAC_nongait_median,dB_nongait_max,dB_nongait_median,aABC_nongait_mean,aABC_nongait_stdev,aABC_nongait_median,distance_cm,center_time_secs,periphery_time_secs,corner_time_secs,center_distance_cm,periphery_distance_cm,corner_distance_cm,grooming_number_bouts,grooming_duration_secs,Rearing_supported_T5,Rearing_supported_T20,Rearing_supported_T55,Rearing_unsupported_T5,Rearing_unsupported_T20,Rearing_unsupported_T55,Grooming_T5,Grooming_T20,Grooming_T55
LL3-B6__2023-07-06_MFS__DO2279_DO_F_25083,DO-2279,Female,New,Sean Deats,25.2857142857143,,22.94,AL,DO,,1.0,-16.0625853219126,0.0934012587936756,0.45,0.0739088175172011,12.0605687930903,3.23373079299927,3.49202116695456,6.08491562399248,0.151875419685576,3,16.5138676514983,0.0106524081486169,0.0833333333333332,0.0313724849431996,4.38450796411522,0.423876400963138,0.318974927277818,0.497751827593511,0.0337403380131767,59.011547088623,31.9988708496094,0.675786121621352,0.140583047171087,0.05643326479831,0.688624586880291,3.12569093580843,1.85593666509939,23.032585612562,2.82842712474619,164.588573793177,14.790908769832,0.0,168.899429978495,0.590755638775864,0.117400940277977,0.553091912124588,24.6272207120495,11.0679718105893,154.163731975282,18.9937579576798,155.725558865561,16598.8681,389.43321,3210.5999,1987.13337,3422.01245,13176.8551,5033.4511,15.0,226.6,0.0321111111111111,0.0641666666666666,0.0798080808080808,0.0045555555555555,0.0025,0.0102121212121212,0.0025555555555555,0.0106666666666666,0.0336060606060606
LL3-B6__2023-07-06_MFS__DO2343_DO_M_25058,DO-2343,Male,New,Sean Deats,25.2857142857143,,29.67,AL,DO,,3.5,0.0106970556081067,0.129680604397159,0.5625,0.13037367340643,15.7965812526229,3.20279901940161,2.56753989224248,5.97068542322685,0.244204021477802,44,14.2922941777737,0.0646512739008709,0.0472222222222221,0.0539708945525997,6.27092781119855,1.11058780885288,0.36196702354332,0.675079121347963,0.162699003433468,56.9309253692627,33.2312107086182,0.560740625572303,0.138532400461914,0.0,0.548529813002185,3.63846561081922,2.88089136094681,24.0260275534679,3.04138126514911,158.797777931141,23.1894095475973,0.0,164.983954911178,0.708355924999329,0.107971688535029,0.698217510742671,30.2200264725232,14.2126704035519,145.272682426099,22.9238066637331,147.890480629751,23733.48,361.925662,3238.0745,1790.2591,3106.25172,20627.232,8483.3426,0.0,0.0,0.148444444444444,0.162388888888889,0.112212121212121,0.0216666666666666,0.0265833333333333,0.0217171717171717,0.0,0.0039722222222222,0.134424242424242
LL3-B6__2023-07-06_MFS__DO2342_DO_M_25057,DO-2342,Male,New,Sean Deats,25.2857142857143,,44.61,AL,DO,,2.0,-2.38642856691237,0.105197624798407,0.5625,0.0975451502310482,12.9372172867872,3.55771029184458,3.1044008731842,5.93602523639278,0.343513668520563,7,19.7481793951526,0.0341011024555119,0.199305555555556,0.0301480670767447,6.3503603670071,1.24258250589047,0.153625170516665,0.906940091079838,0.171442506340452,68.7176666259766,34.0998096466064,0.664916075420667,0.135295772797471,0.1076164102703,0.686490704780885,4.0875043417831,3.30013721138913,26.0,3.20156211871642,160.120483509587,21.437433303079,0.213789229876531,166.429565614839,0.0960897597390945,0.0293462816204027,0.0971644070339264,29.0903764155777,11.2361025271221,150.540011982651,27.2405842856106,158.157781560782,15241.8329,793.366774,2806.6332,1013.533436,3712.36566,11529.4676,3571.76387,18.0,512.03333,0.0288888888888888,0.073,0.0907575757575757,0.0045555555555555,0.0108611111111111,0.0262828282828282,0.0305555555555555,0.0505833333333333,0.0475454545454545
LL3-B6__2023-07-06_MFS__DO2281_DO_F_25085,DO-2281,Female,New,Sean Deats,25.2857142857143,,33.24,AL,DO,,2.5,1.69135906477143,0.123253209532309,0.55,0.0567877188551721,18.2844075078368,2.78070894801199,2.82394716981906,6.09961106732057,0.213042463806395,77,10.9274285712173,0.0402969572454711,0.111111111111111,0.0372817593881854,7.82484113598227,1.42939776857826,0.304192863910538,0.892865413554958,0.123625392399113,64.9031372070312,32.5681915283203,0.658935261392658,0.139386526294236,0.130036415295138,0.673761244329207,3.91244730704919,2.59255047309122,22.1020361053003,3.35410196624968,160.448646789498,17.5286548279777,12.4259428654275,164.744881296942,0.146808726691395,0.0401060741705295,0.146974541242004,27.1016604657353,10.9658560997307,152.306134629261,28.335978787188,159.866594249366,31647.527,744.096631,2856.0,1120.1932,9144.2622,22503.263,6417.30455,8.0,132.48385,0.0544444444444444,0.0673888888888888,0.0712828282828282,0.0143333333333333,0.0459166666666666,0.0497676767676767,0.0135555555555555,0.0155555555555555,0.045040404040404
LL3-B6__2023-07-06_MFS__DO2282_DO_F_25086,DO-2282,Female,New,Sean Deats,25.2857142857143,,29.58,AL,DO,,1.0,0.335691624175972,0.124338674889362,0.5,0.0804947660167557,16.5832771339148,2.88233363371481,2.91461169719696,6.29291161894798,0.221146693626803,14,10.9558719994459,0.0300904579017416,0.0593749999999999,0.0576793316015388,8.97387614559132,2.14590349961689,0.387093817472702,1.71049149205168,0.143003481807854,66.060302734375,32.3081588745117,0.710316855068367,0.138507915011293,0.115880699560178,0.730834411269054,4.25936665343698,2.77486206167835,21.6448608219134,3.64005494464026,158.227314945107,19.710470486019,20.8612846545244,163.203480821888,0.692688732441594,0.131120158212549,0.701542674392504,31.7647603485372,11.5433963806152,155.984770745016,22.6843284698452,161.774924888646,23151.921,302.551768,3297.4482,1979.58632,2407.30965,20744.609,10342.7693,1.0,5.2069,0.0323333333333333,0.0231111111111111,0.0254545454545454,0.0012222222222222,0.0011666666666666,0.0015757575757575,0.0127777777777777,0.0949444444444444,0.0614242424242424
LL3-B6__2023-07-10_MFS__DO2299_DO_F_25103,DO-2299,Female,New,Sean Deats,25.8571428571429,,24.14,AL,DO,,1.5,-0.613637933576789,0.142793711012814,0.5625,0.0769133907770526,19.972568875789,2.69861532267118,3.1149102343444,5.46156018622275,0.265649624591681,80,16.1783732531567,0.0433133864414907,0.111111111111111,0.0390572598911278,10.7685877374764,1.37717828291156,0.311992120228406,0.9966332626563,0.199470449162042,52.8833465576172,32.8805770874023,0.523975088615005,0.131597323009436,0.0223578852139952,0.46281362435356,3.57858666672241,1.77433109667561,21.5232432500309,3.35410196624968,158.995627063535,15.5975350565763,0.720663622517801,160.140582903516,0.684829936181293,0.132719671516982,0.692507607903054,33.2453004197586,11.6619037896906,151.740755364297,24.7441860917459,156.829468142049,1895.535,31.5667,148.4333,51.9666,537.255,1358.28,457.559,0.0,0.0,0.0352222222222222,0.0591111111111111,0.0446262626262626,0.001,0.0020833333333333,0.0024545454545454,0.027,0.0566666666666666,0.0532828282828282
LL3-B6__2023-07-10_MFS__DO2301_DO_F_25105,DO-2301,Female,New,Sean Deats,25.8571428571429,,24.669,AL,DO,,4.5,-1.67627140414388,0.100275835816315,0.454545454545454,0.054023368083522,15.0435169031394,2.79970825429809,2.98643301409703,5.14215052127838,0.218980316379141,89,11.1176690295425,0.050535834412677,0.196428571428571,0.035201378972628,6.32006243094075,2.32859859265461,0.480966516562404,4.39221650158854,0.189233245394167,55.2895393371582,32.7332572937012,0.109553602175889,0.0262889623179633,0.0070744289640867,0.108125420467269,3.55783670785825,2.74379852660084,165.807870742013,2.91547594742265,159.465962212856,21.9224045678104,1.00508600525414,165.963756532074,0.671524103124587,0.112543795361364,0.674538652331879,30.1039864469807,11.5,155.151514806442,20.7705528544774,160.0168934781,23990.2147,103.90326,3496.0968,2887.3873,1145.4224,22844.7937,17052.5172,2.0,23.7419,0.119,0.107916666666667,0.0754747474747474,0.0071111111111111,0.0075555555555555,0.0075050505050505,0.0133333333333333,0.0041944444444444,0.106010101010101
LL3-B6__2023-07-10_MFS__DO2300_DO_F_25104,DO-2300,Female,New,Sean Deats,25.8571428571429,,38.26,AL,DO,,2.0,0.672243729767251,0.123164880831623,0.555555555555556,0.0839116243012945,16.8386617093569,2.5870007276535,3.09916154849619,5.98514792833217,0.238546642823886,43,17.92411701216,0.0450509665265596,0.0703282828282828,0.0687715719900274,7.22279841920126,1.21029535608387,0.236043972036515,0.870899875481149,0.170180532554496,223.151947021484,36.7250881195068,0.573144135823171,0.107619392481144,0.19351799378818,0.570888911648809,3.71857255085973,2.36194410969781,20.1246117974981,3.20156211871642,162.832500784679,15.8182424065364,41.8201698801358,167.245941995044,0.633254674131111,0.153581781609162,0.652658341039466,34.0771184227775,11.2361025271221,148.217824810224,30.2785018651775,155.740915546917,15948.8043,332.866597,3267.1667,1976.40019,1897.047181,14051.7563,5995.6134,12.0,178.70011,0.0158888888888888,0.0340277777777777,0.0371111111111111,0.0047777777777777,0.0085277777777777,0.020080808080808,0.0,0.0061388888888888,0.0176666666666666
LL3-B6__2023-07-10_MFS__DO2323_DO_F_25127,DO-2323,Female,New,Sean Deats,25.8571428571429,,22.33,AL,DO,,2.5,1.7718707201892,0.162262805016335,0.6,0.0720349019484352,18.9112916787423,2.55762584924698,2.95586618026738,5.6552074849297,0.370775014176977,65,19.8447994117963,0.0534403527265374,0.0694444444444444,0.0572663194189162,9.68210570735775,1.28238254629348,0.330378631267605,1.13124876696804,0.175934396318819,57.2956466674805,32.37646484375,0.631828140271515,0.144209361646774,0.0,0.64048339408777,4.09283815313539,2.96311857701175,22.9836898691224,3.35410196624968,157.123970005685,23.9170025739135,0.0,164.585873991427,0.179606123310846,0.0283361481422474,0.1765137603982,24.0520269416114,11.629703349613,160.708971199539,14.4754809762531,163.100156130995,1860.14946,30.8,3569.2333,3495.6999,188.311,1671.83946,1182.82346,0.0,0.0,0.0185555555555555,0.0441388888888888,0.0537171717171717,0.0006666666666666,0.0058888888888888,0.006010101010101,0.0088888888888888,0.0236111111111111,0.118808080808081
LL3-B6__2023-07-10_MFS__DO2325_DO_F_25129,DO-2325,Female,New,Sean Deats,25.8571428571429,,21.24,AL,DO,,2.0,-0.724494402725867,0.105730737580156,0.5,0.0690319922990555,14.0984382653441,2.23491507391371,3.1264204324966,5.14939400103041,0.223405967208397,70,18.655156640725,0.0379076532231111,0.110763888888889,0.0442134784127096,5.95637186908307,1.43318787795009,0.335454867284402,3.04678176578847,0.163329162734099,61.2763786315918,30.4811611175537,0.594976051730277,0.0952037065679208,0.109231691185743,0.586889633315269,2.88810097423844,2.04559077548158,20.591260281974,2.5,165.4242021831,13.0714657187769,62.6410627334466,168.483437583772,0.643993919044769,0.139059325309028,0.657784453152267,31.5634282041733,12.2065556157337,151.236550331949,26.4109880188587,158.223419293177,16713.9276,211.099866,3388.9335,2125.733,1892.743899,14821.1866,5879.22,11.0,203.06666,0.044,0.0520833333333333,0.0497676767676767,0.0026666666666666,0.0108333333333333,0.0138989898989898,0.0001111111111111,0.0105555555555555,0.0269696969696969
LL3-B6__2023-07-10_MFS__DO2326_DO_F_25130,DO-2326,Female,New,Sean Deats,25.8571428571429,,34.03,AL,DO,,2.0,-0.115710637339035,0.160931164171544,0.5625,0.0784244811011805,17.8769747275444,3.3260677481823,2.93700513201236,6.52468748452839,0.286574539430219,52,14.7394664304735,0.0375440775728366,0.0499999999999999,0.0387874267414814,8.25953658081758,0.686237756008322,0.312684240672869,0.984360395061699,0.179860837057443,64.1413269042969,32.4730682373047,0.23719402244548,0.0584773045715901,0.0243957934946265,0.246598480958036,3.51954496987441,2.98962003214624,184.039397955981,2.82842712474619,160.896620564554,20.593681326699,3.75172907052594,167.660912721674,0.173438740013329,0.0342757516576103,0.176398487444069,30.0166620396073,10.3077640640442,157.439242290962,20.216926166212,162.624257610434,19940.6108,288.806313,3311.1934,2362.6125,2762.466899,17178.1428,9548.6631,0.0,0.0,0.0476666666666666,0.107083333333333,0.0389393939393939,0.0847777777777777,0.178083333333333,0.0647575757575757,0.199888888888889,0.0775277777777777,0.0281919191919191
LL3-B6__2023-07-10_MFS__DO2302_DO_F_25106,DO-2302,Female,New,Sean Deats,25.8571428571429,,25.51,AL,DO,,4.0,-1.49940834917403,0.140798312530715,0.559027777777778,0.0867798764465462,16.7662427010604,3.02385725631777,2.94402757010819,5.68599608228426,0.391369761703178,74,24.7319369322379,0.0565960008425308,0.111111111111111,0.0554211400042657,7.63963124638136,0.94334844149682,0.321670925708015,0.909666435426449,0.23763120375109,55.1682472229004,32.0827560424805,0.58888383131334,0.11190068829038,0.143682971781943,0.589548872701125,3.27484885618782,1.94611238088906,20.1556443707464,2.91547594742265,161.415380375535,14.8319566184142,15.9453959009229,164.744881296942,0.651897447742885,0.152846802329707,0.644003173028856,36.1005540123694,12.2576506721313,144.449641527737,28.1637618682072,150.708637829016,3077.975,0.566666,422.9,389.4,19.9312,3058.044,2619.488,0.0,0.0,0.124222222222222,0.0918333333333333,0.0629494949494949,0.0192222222222222,0.0115833333333333,0.0115757575757575,0.0126666666666666,0.0071666666666666,0.0685252525252525
LL6-B6__2023-07-06_MFS__DO2279_DO_F_25083,DO-2279,Female,New,Sean Deats,25.2857142857143,,22.94,AL,DO,,1.0,-16.0625853219126,0.0934012587936756,0.45,0.0739088175172011,12.0605687930903,3.23373079299927,3.49202116695456,6.08491562399248,0.151875419685576,3,16.5138676514983,0.0106524081486169,0.0833333333333332,0.0313724849431996,4.38450796411522,0.423876400963138,0.318974927277818,0.497751827593511,0.0337403380131767,59.011547088623,31.9988708496094,0.675786121621352,0.140583047171087,0.05643326479831,0.688624586880291,3.12569093580843,1.85593666509939,23.032585612562,2.82842712474619,164.588573793177,14.790908769832,0.0,168.899429978495,0.590755638775864,0.117400940277977,0.553091912124588,24.6272207120495,11.0679718105893,154.163731975282,18.9937579576798,155.725558865561,16598.8681,389.43321,3210.5999,1987.13337,3422.01245,13176.8551,5033.4511,15.0,226.6,0.0321111111111111,0.0641666666666666,0.0798080808080808,0.0045555555555555,0.0025,0.0102121212121212,0.0025555555555555,0.0106666666666666,0.0336060606060606
LL6-B6__2023-07-06_MFS__DO2352_DO_M_25067,DO-2352,Male,New,Sean Deats,25.2857142857143,,32.65,AL,DO,,3.5,-6.21766603337668,0.125133833686873,0.576923076923077,0.0824790860265874,14.3000158451383,3.68666648162877,3.27703687255891,6.58946607245952,0.260811872231435,11,9.9202135221301,0.0549337820489168,0.151515151515152,0.0441792148142165,5.48100977038165,2.52741355616891,0.373400562485368,2.13386045035847,0.114086181308343,60.0651397705078,32.0052299499512,0.628665838630435,0.117065880559294,0.115500858174564,0.637037232375181,3.40314931114342,2.3819585662998,25.4950975679639,2.91547594742265,163.032354541317,17.1391150375988,3.9451862290377,167.644640134917,0.623476886708601,0.120101694584519,0.603435077985623,29.6184064392398,11.8848643240047,148.498132160857,21.7287050906886,148.025101375107,22258.043,612.099959,2987.9,1219.23352,5002.349578,17255.694,4819.1655,27.0,176.79996,0.137444444444444,0.157305555555556,0.239484848484848,0.0067777777777777,0.0449722222222222,0.0577070707070707,0.0,0.0093611111111111,0.0195555555555555
LL6-B6__2023-07-06_MFS__DO2355_DO_M_25070,DO-2355,Male,New,Sean Deats,25.2857142857143,,48.16,AL,DO,,3.5,-1.8910370413788,0.100308189686353,0.388888888888889,0.0669223995245321,14.4054380682997,2.3890900693723,3.21640384197235,5.36485887355541,0.166891440093471,36,13.5805920642095,0.0379106835904625,0.2,0.0414583355863901,5.76295390544288,1.63451720422523,0.515358963575035,1.5369490032577,0.166714504083009,65.8532257080078,36.938102722168,0.664930874735861,0.103359561717516,0.251390186805899,0.648300103557686,6.87005476962464,3.06095179879185,21.3190056053278,7.10633520177595,146.663816707627,17.0904094317525,44.3598503304765,144.806972190443,0.154155021754825,0.0204941940685911,0.153618091558312,29.567718883945,10.295630140987,155.430799908521,18.5051949787521,159.080596347853,7058.05573,53.7666,3546.2668,2799.3667,217.36217,6840.69473,3139.55223,15.0,147.33334,0.0305555555555555,0.0325555555555555,0.0171515151515151,0.0042222222222222,0.0059444444444444,0.0025959595959595,0.0547777777777777,0.0387777777777777,0.0428080808080808
LL6-B6__2023-07-06_MFS__DO2353_DO_M_25068,DO-2353,Male,New,Sean Deats,25.2857142857143,,29.06,AL,DO,,4.5,-3.71989068609326,0.121253103055929,0.590909090909091,0.0736619854257831,15.4689958299251,3.06309820689787,2.93571037976782,6.48047787253859,0.390222702173896,31,14.617931542768,0.0274061305424331,0.165909090909091,0.0541869307695499,7.2917788359658,0.991628680717589,0.451248665900829,0.773054916218426,0.222961454293736,59.0549468994141,32.4991455078125,0.57552703251855,0.142238929968975,0.0,0.578836372727002,3.70049120552508,2.69371189651411,23.5053185470863,3.04138126514911,158.17548297717,22.7711896147463,0.0,164.87220504183,0.218040613030667,0.0471291578196893,0.219076876502075,33.0151480384384,11.2361025271221,152.684248947549,26.1200822703061,159.389681658277,8903.13923,198.19997,3401.8666,2718.6001,1539.282633,7363.85933,2932.37463,9.0,195.86667,0.0987777777777777,0.14675,0.118727272727273,0.0026666666666666,0.0117222222222222,0.0297070707070707,0.0093333333333333,0.0162777777777777,0.0641212121212121
LL6-B6__2023-07-06_MFS__DO2354_DO_M_25069,DO-2354,Male,New,Sean Deats,25.2857142857143,,43.52,AL,DO,,2.5,2.87661026861736,0.113024088108166,0.625,0.102982777493558,22.8540737573112,2.46716662373707,3.285889507023,4.79886594499251,0.323285708466007,28,18.0540127413084,0.0446162011486759,0.0952380952380953,0.0852890607947639,8.96785563776402,1.19904026650757,0.493461507359086,1.29471073216759,0.251927790853318,66.2090454101562,36.9128494262695,0.631884470323683,0.125582117553352,0.0297712677705622,0.640082257067088,3.95024376486459,2.75212103308843,24.8243831746128,3.35410196624968,161.487104302454,18.3099310613787,1.21887523513103,166.452061012,0.109502578142611,0.0250888896868444,0.103674833118896,28.8877136513086,11.4017542509914,155.552673319349,18.0673480532188,159.996389203831,12446.5539,63.793117,3536.2758,2083.6552,526.59453,11919.9579,5104.7383,16.0,306.44818,0.113666666666667,0.124361111111111,0.157151515151515,0.0118888888888888,0.0293055555555555,0.0538787878787878,0.017,0.02275,0.051060606060606
LL6-B6__2023-07-06_MFS__DO2281_DO_F_25085,DO-2281,Female,New,Sean Deats,25.2857142857143,,33.24,AL,DO,,2.5,1.69135906477143,0.123253209532309,0.55,0.0567877188551721,18.2844075078368,2.78070894801199,2.82394716981906,6.09961106732057,0.213042463806395,77,10.9274285712173,0.0402969572454711,0.111111111111111,0.0372817593881854,7.82484113598227,1.42939776857826,0.304192863910538,0.892865413554958,0.123625392399113,64.9031372070312,32.5681915283203,0.658935261392658,0.139386526294236,0.130036415295138,0.673761244329207,3.91244730704919,2.59255047309122,22.1020361053003,3.35410196624968,160.448646789498,17.5286548279777,12.4259428654275,164.744881296942,0.146808726691395,0.0401060741705295,0.146974541242004,27.1016604657353,10.9658560997307,152.306134629261,28.335978787188,159.866594249366,31647.527,744.096631,2856.0,1120.1932,9144.2622,22503.263,6417.30455,8.0,132.48385,0.0544444444444444,0.0673888888888888,0.0712828282828282,0.0143333333333333,0.0459166666666666,0.0497676767676767,0.0135555555555555,0.0155555555555555,0.045040404040404
